,.,90%,95%,99%,90%,95%,99%
41,252.0901108,65.5990925,29.8723564,-39.95352267,438.581129,474.3078651,544.1337442
42,230.7925855,44.29612008,8.568340459,-61.25957813,417.2890509,453.0168305,522.8447491
43,232.6335424,46.13397819,10.40560491,-59.42347395,419.1331066,454.8614799,524.6905588
44,234.3017813,47.80045411,12.0717431,-57.75799582,420.8031084,456.5318194,526.3615584
45,252.7989436,66.29661347,30.56771033,-39.26240412,439.3012736,475.0301768,544.8602912
46,262.1231048,74.71343391,38.81070831,-31.35913224,449.5327757,485.4355013,555.6053418
47,267.6662034,79.74229612,43.74105647,-26.62132424,455.5901107,491.5913504,561.9537311
48,275.1071791,86.89134675,50.83418198,-19.63750118,463.3230115,499.3801762,569.8518594
49,274.1459138,85.76420539,49.67526318,-20.85852719,462.5276221,498.6165643,569.1503547
50,271.621785,83.14577398,47.03876588,-23.53033326,460.0977961,496.2048042,566.7739033
51,266.1842047,77.65456539,41.53728353,-29.05189508,454.7138441,490.8311259,561.4203045
52,265.4900855,76.92994353,40.80681817,-29.79378123,454.0502275,490.1733528,560.7739522
53,262.4941165,73.91662359,37.79017425,-32.81692168,451.0716094,487.1980587,557.8051547
54,258.1204815,69.5331183,33.40477807,-37.2060135,446.7078448,482.836185,553.4469766
55,255.4533723,66.860394,30.73097807,-39.88191589,444.0463506,480.1757665,550.7886605
56,253.4910831,64.89491047,28.76488259,-41.8492074,442.0872558,478.2172837,548.8313737
57,240.6195791,52.02158913,15.89121311,-54.7235573,429.217569,465.347945,535.9627154
58,241.8268399,53.22781613,17.09724205,-53.51791546,430.4258637,466.5564378,537.1715953
59,242.8191537,54.21954177,18.08885501,-52.52652272,431.4187656,467.5494524,538.1648301
60,254.1627217,65.56277519,29.43202433,-41.18347868,442.7626683,478.8934191,549.5089221
61,259.7711239,70.83564782,34.64061839,-36.10051342,448.7066,484.9016294,555.6427612
62,263.0820334,73.95593826,37.72439127,-33.08811204,452.2081285,488.4396755,559.2521788
63,267.5690125,78.33455876,42.08225313,-28.77082176,456.8034662,493.0557719,563.9088467
64,266.9699248,77.6738529,41.40974287,-29.46640307,456.2659967,492.5301067,563.4062527
65,265.4440541,76.11293618,39.84211227,-31.04715557,454.7751719,491.0459959,561.9352637
66,262.1486541,72.79760123,36.52295831,-34.37377357,451.4997069,487.7743499,558.6710817
67,261.7145654,72.35217239,36.075357,-34.82562087,451.0769585,487.3537739,558.2547517
68,259.9094215,70.54057725,34.26252597,-36.64086734,449.2782657,485.556317,556.4597103
69,257.2613006,67.88878635,31.61003199,-39.29473546,446.6338149,482.9125692,553.8173367
70,255.6550032,66.28040113,30.00124679,-40.90430239,445.0296054,481.3087597,552.2143089
71,254.4743813,65.09859135,28.81920947,-42.08678445,443.8501712,480.1295531,551.035547
72,246.7093879,57.33292229,21.05341095,-49.85283598,436.0858536,472.3653649,543.2716118
73,247.4195163,58.0426662,21.76308122,-49.14330965,436.7963664,473.0759513,543.9823422
74,248.0212054,58.64413663,22.36450975,-48.541963,437.3982742,473.6779011,544.5843738
75,254.832849,65.45565578,29.17600506,-41.73051427,444.2100422,480.4896929,551.3962122
76,258.2213778,68.72335102,32.42055178,-38.53121002,447.7194046,484.0222039,554.9739657
77,260.226269,70.65953364,34.34357167,-36.63391596,449.7930044,486.1089664,557.086454
78,262.9350679,73.32925488,37.00580667,-33.98631237,452.5408808,488.8643291,559.8564481
79,262.5771381,72.9490972,36.62139072,-34.37905088,452.2051789,488.5328854,559.533327
80,261.6566975,72.0160122,35.68588338,-35.31929253,451.2973827,487.6275115,558.6326875
81,259.6704308,70.0225524,33.69104557,-37.31682357,449.3183091,485.649816,556.6576851
82,259.4113592,69.75938875,33.427098,-37.5823033,449.0633296,485.3956204,556.4050217
83,258.3213101,68.66701172,32.33427498,-38.67599795,447.9756085,484.3083453,555.3186182
84,256.7247082,67.06908543,30.73609498,-40.27467383,446.380331,482.7133215,553.7240903
85,255.7545991,66.0982229,29.76508811,-41.24596281,445.4109754,481.7441102,552.7551611
