"","x"
"1",4161.85259230609
"2",6266.32554833588
"3",4953.33736200249
"4",7422.46726060256
"5",125.067451422737
"6",8550.18640465953
"7",20236.9351223227
"8",632.302808679424
"9",5497.61834239747
"10",5512.75332733473
"11",3077.2060224049
"12",30.6201756024999
"13",7.25104258617597
"14",23.4147596544
"15",153761.170204662
"16",926.712441570305
"17",25074.7129990009
"18",4554.76755060434
"19",9996.57589316288
"20",2273.31393203552
"21",1251.85860924499
"22",35.2275486783994
"23",11443.3934585448
"24",35909.3184240417
"25",1011.21761292391
"26",22145.0143202401
"27",992.199852633617
"28",2615.543645773
"29",233.487017999524
"30",3055.80830536195
"31",12621.7396573383
"32",1696.44590718836
"33",276.222605042916
"34",3385.15420039809
"35",1877.3147174401
"36",4016.19213695236
"37",3414.90003262532
"38",1578.1112188007
"39",2473.86187963663
"40",544.889393093956
"41",626.936898309264
"42",4557.96385113764
"43",0.0101195552160006
"44",17996.850864085
"45",4837.17245444666
"46",6.16481227321602
"47",2574.92126291712
"48",130.268804023296
"49",832.928344808004
"50",633.333092532099
"51",21.1529901806439
"52",568.7819557225
"53",190.261525035024
"54",2944.23919159234
"55",227.205156702276
"56",296.346860113984
"57",205.79910849
"58",246.667190632164
"59",196.282453687056
"60",720.5874509376
"61",1066.6096278201
"62",493.959870643264
"63",1392.37250728206
"64",246.904717092804
"65",34.7116811222441
"66",16.425220262416
"67",103.334096654244
"68",95.8230330777759
"69",31.553003246436
"70",91.3360578601
"71",230.710156209316
"72",0.506872802500001
"73",19.439598449296
"74",8577.7423496744
"75",4227.28622919706
"76",0.272229323535996
"77",371.305460026944
"78",2540.09165805968
"79",3068.94859724046
"80",328.032662635584
"81",9.54016652865603
"82",3589.627721904
"83",373.201969486096
"84",599.564881608197
"85",608.531833359844
"86",4.65324435104401
"87",1.93614979993601
"88",1060.79877684884
"89",20392.4443340775
"90",7604.40681056249
"91",124.826588546723
"92",10431.0430624205
"93",3029.24462795347
"94",1310.19689207617
"95",639.888931392674
"96",1830.8588130233
"97",5271.73491787779
"98",6166.57987832548
"99",28530.7502538304
"100",8590.02652830081
"101",22616.6684483457
"102",246.754898732356
"103",1254.80196469786
"104",5856.27061232308
"105",5020.26635933025
"106",2682.71767422176
"107",4955.4869988484
"108",304.448686577764
"109",2037.7187286456
"110",7788.34702059855
"111",3731.49548649702
"112",6495.8061286061
"113",3575.44130746003
"114",2209.88820126471
"115",29882.6657108891
"116",53.8540225608999
"117",419.905506627217
"118",90.510906293284
"119",1888.44131844
"120",3329.98058940826
"121",7424.17389201332
"122",40504.1345158321
"123",10300.1324128266
"124",367.397043100818
"125",143.057818219683
"126",602.078600544101
"127",3113.46903114702
"128",1814.10214522928
"129",120.700941014404
"130",7057.43916137636
"131",0.231538041855997
"132",138.839418924196
"133",4624.7983544569
"134",741.533460756543
"135",4992.83022984144
"136",5153.38830070681
"137",482.273925661697
"138",2143.22443248078
"139",11592.589012481
"140",29.4037665305758
"141",12716.1454964285
"142",3789.36618807758
"143",238.7130061156
"144",335.806431300484
"145",1121.55705899834
"146",541.7619346084
"147",4252.37644422151
"148",757.958603978303
"149",37406.0007478161
"150",2977.25279466726
"151",3550.60842386832
"152",1541.91205342734
"153",2369.91979323968
"154",1372.6718227714
"155",3.06855098598395
"156",3142.22827335872
"157",6327.34338916
"158",2.49873894759997
"159",441.1491126025
"160",206.291115414244
"161",358.503096535684
"162",89.336750083344
"163",367.278673514256
"164",12827.5358438989
"165",1294.11241580308
"166",115.675746730756
"167",1078.72531435412
"168",5826.8016955801
"169",12.9208615936
"170",70.0468228824041
"171",329.543244862276
"172",8424.13267288948
"173",7675.68311567257
"174",27844.5836745773
"175",37977.2306521306
"176",54271.6782979063
"177",2709.4242375369
"178",327.9786196324
"179",14793.6199657087
"180",752.1542106849
"181",1267.4740649664
"182",0.513423839295987
"183",900.543682083601
"184",231.045897637636
"185",2272.66992591078
"186",63.6263070920999
"187",257.813375938624
"188",18.810766031044
"189",2376.72903291726
"190",54.844629472656
"191",2866.8958977336
"192",25.910319287524
"193",1705.53537630438
"194",14932.4905100449
"195",82.2688908484001
"196",402.703512740677
"197",1779.70314469478
"198",2107.85536444099
"199",780.106573830544
"200",3.02218754113595
"201",1872.92019445351
"202",17318.9311139881
"203",1947.9520700721
"204",1177.71290682369
"205",1264.41275385073
"206",240.124032516096
"207",389.529116466063
"208",1230.8038381586
"209",3153.89325909716
"210",15606.0597432146
"211",37.2247390592638
"212",3924.9661152025
"213",1333.64641772738
"214",2307.649636152
"215",8291.19950668858
"216",14832.6072880129
"217",1485.4179308544
"218",22320.4813129648
"219",22445.0172311585
"220",2392.62713630214
"221",272.477483499664
"222",515.0648406016
"223",197.988763439104
"224",13663.3922631842
"225",8303.56770267939
"226",14081.2768506771
"227",35548.1317682629
"228",982.701618117188
"229",52810.1560195968
"230",3643.34698370074
"231",206.1237361401
"232",2836.82999161
"233",3907.5913651329
"234",97.9690974683553
"235",473.476971744676
"236",9957.69244314464
"237",1308.98357209488
"238",2626.9909674724
"239",93.3574904602241
"240",463.291530027264
"241",4909.45988138145
"242",718.200979729983
"243",11336.1743498468
"244",8487.31374411792
"245",7486.52474838644
"246",375.733408216336
"247",2765.14078817524
"248",666.3089039616
"249",3280.78852943622
"250",190.270794401424
"251",873.445536108544
"252",601.786838446336
"253",297.859550097664
"254",16049.3593185564
"255",858.603922179135
"256",368.016187327505
"257",6.01826874265599
"258",3900.6844838116
"259",1146.63680482468
"260",3028.95227010273
"261",572.972117690895
"262",1141.97387795482
