,,90%,90%,95%,95%,99%,99%
1,309.0646019,214.2999445,403.8292594,195.8092796,422.3199243,159.9836164,458.1455875
2,317.2672192,197.6031939,436.9312445,174.2541158,460.2803226,129.015277,505.5191614
3,245.8238308,132.3495738,359.2980877,110.2082554,381.4394061,67.30945094,424.3382106
4,231.8911145,121.1102045,342.6720245,99.49441724,364.2878118,57.61382933,406.1683997
5,218.1114004,109.5143785,326.7084223,88.32471565,347.8980851,47.26974395,388.9530568
6,206.412577,100.1139725,312.7111815,79.37278139,333.4523726,39.1867236,373.6384304
7,184.5989908,81.10107097,288.0969106,60.90635491,308.2916267,21.77909254,347.4188891
8,168.8449481,67.76491973,269.9249764,48.04198737,289.6479088,9.828805915,327.8610903
9,194.6839684,91.07751976,298.2904171,70.86162733,318.5063096,31.69333576,357.6746011
10,165.8689365,65.45621636,266.2816566,45.86349049,285.8743824,7.902584107,323.8352888
11,161.2101866,62.24275827,260.1776149,42.93204055,279.4883326,5.517524963,316.9028482
12,161.2101015,64.09850266,258.3217004,45.14989801,277.270305,8.436976489,313.9832265
13,111.2154103,9.414776243,213.0160443,-10.4487621,232.8795826,-48.93436765,271.3651882
14,116.2667082,18.59869725,213.9347192,-0.458475621,232.9918921,-37.38174806,269.9151645
15,145.667053,50.60890051,240.7252055,32.06096832,259.2731377,-3.87565031,295.2097563
16,271.3735302,147.2797204,395.46734,123.0662941,419.6807663,76.15278063,466.5942798
17,285.8313012,167.479816,404.1827863,144.3868433,427.2757591,99.64420863,472.0183937
18,222.1870101,113.2192279,331.1547923,91.95722162,352.4167986,50.76208444,393.6119358
19,199.5518332,97.417258,301.6864084,77.48856041,321.615106,38.87670881,360.2269576
20,255.5594556,148.1498206,362.9690906,127.191843,383.9270682,86.58576146,424.5331498
21,229.5493657,125.7182199,333.3805115,105.4584841,353.6402473,66.20524609,392.8934853
22,226.8745434,126.9786425,326.7704443,107.4867594,346.2623274,69.72123592,384.0278509
23,239.3831982,133.5504793,345.2159171,112.9001927,365.8662037,72.89026239,405.876134
24,283.765999,188.8572383,378.6747597,170.3384557,397.1935423,134.4583145,433.0736835
25,232.5876119,126.3974308,338.7777929,105.6773955,359.4978282,65.53232705,399.6428967
26,220.0664897,120.5195197,319.6134598,101.0957206,339.0372588,63.46211,376.6708695
27,183.5328138,82.16148533,284.9041423,62.38171392,304.6839137,24.05840681,343.0072208
28,105.2466762,-4.517769939,215.0111223,-25.93522284,236.4285752,-67.43153785,277.9248902
29,115.3078792,14.3353217,216.2804366,-5.366640729,235.9823991,-43.53919294,274.1549513
30,160.9074907,65.81602518,255.9989562,47.26159288,274.5533885,11.31238031,310.5026011
31,280.1280513,154.7750324,405.4810702,130.3159067,429.9401958,82.92635077,477.3297518
32,301.6896907,181.7768683,421.6025131,158.3792444,445.000137,113.0463481,490.3330333
33,228.3709775,117.0724361,339.6695188,95.35564755,361.3863074,53.27936971,403.4625852
34,251.929686,147.9581733,355.9011988,127.6710489,376.1883232,88.36474529,415.4946268
35,243.5859738,141.6801814,345.4917662,121.7961244,365.3758233,83.27076382,403.9011838
36,228.1898247,128.6377811,327.7418684,109.2129921,347.1666574,71.57746334,384.8021861
37,243.1282608,145.6406708,340.6158508,126.618702,359.6378196,89.76363749,396.4928842
38,280.0283118,183.1630614,376.8935622,164.2625247,395.7940988,127.6427349,432.4138886
39,289.0934271,191.8699703,386.3168839,172.8995397,405.2873144,136.1443304,442.0425237
40,246.3571095,141.9093442,350.8048748,121.5292925,371.1849265,82.04294218,410.6712768
41,227.5285323,129.4299096,325.6271551,110.2887149,344.7683498,73.20265019,381.8544145
42,214.6662564,103.3780617,325.954451,81.66329204,347.6692207,39.59092576,389.741587
43,129.7435582,18.69256787,240.7945486,-2.975918056,262.4630345,-44.95860953,304.445726
44,140.0266187,39.6008562,240.4523812,20.00558547,260.0476519,-17.96025157,298.0134889
45,183.9357188,89.68349445,278.1879431,71.29281653,296.5786211,35.66087806,332.2105595
46,310.3543852,190.1140627,430.5947076,166.6525364,454.056234,121.1958292,499.5129412
47,299.9658044,188.9125316,411.0190772,167.2436004,432.6880084,125.260046,474.6715628
48,271.0217446,163.5577788,378.4857104,142.5892002,399.4542891,101.9625789,440.0809103
49,256.849456,153.3851129,360.3137992,133.1969484,380.5019637,94.08237962,419.6165325
50,291.6917647,176.0151298,407.3683995,153.4440791,429.9394502,109.7126684,473.6708609
51,206.4982458,100.7308964,312.2655952,80.09336481,332.9031268,40.10814735,372.8883443
52,188.5914611,82.54826518,294.634657,61.85690988,315.3260123,21.76740898,355.4155132
