,,90%,90%,95%,95%,99%,99%
31,257.8360655,176.7240559,338.9480752,160.8973223,354.7748088,130.2330259,385.4391051
32,253.9368269,175.5023842,332.3712696,160.1981027,347.6755511,130.5460573,377.3275966
33,212.6685159,134.7993181,290.5377137,119.6053282,305.7317035,90.16697296,335.1700588
34,239.0511366,163.6636103,314.438663,148.9538491,329.1484242,120.4536867,357.6485866
35,206.5337645,133.1273839,279.9401451,118.8041876,294.2633414,91.05299497,322.014534
36,184.1658357,111.7612436,256.5704278,97.63351833,270.6981531,70.26105058,298.0706209
37,182.6241036,108.5045454,256.7436618,94.0421926,271.2060146,66.02138401,299.2268232
38,235.318803,163.7208361,306.9167698,149.7505011,320.8871048,122.682977,347.9546289
39,169.0004706,99.73361938,238.2673218,86.21813621,251.782805,60.03188758,277.9690536
40,162.1516062,94.23376728,230.0694451,80.98150603,243.3217064,55.30524985,268.9979626
41,175.4239893,102.4154506,248.432528,88.16988207,262.6780965,60.56909306,290.2788855
42,197.2376858,125.0351952,269.4401764,110.9469044,283.5284673,83.65084084,310.8245308
43,57.34661083,-12.55309375,127.2463154,-26.19206049,140.8852822,-52.61755857,167.3107802
44,87.48818995,17.76440515,157.2119747,4.159764218,170.8166157,-22.19922759,197.1756075
45,212.7668585,133.3999865,292.1337306,117.9137676,307.6199495,87.90921843,337.6244987
46,310.4439071,232.9951946,387.8926197,217.8832507,403.0045636,188.6038594,432.2839549
47,253.3442166,177.2066809,329.4817523,162.3505764,344.3378569,133.5668738,373.1215594
48,241.4939022,166.6906717,316.2971327,152.0949194,330.8928849,123.8156493,359.172155
49,241.995343,162.0961833,321.8945027,146.5061034,337.4845827,116.3003235,367.6903625
50,270.1040912,192.9003533,347.3078292,177.8362093,362.3719732,148.6494303,391.5587522
51,216.2586186,141.5026649,291.0145724,126.9161374,305.6010999,98.65474022,333.8624971
52,205.3735673,131.4691294,279.2780051,117.0487513,293.6983832,89.10926865,321.6378659
53,216.7017725,138.4384819,294.965063,123.167596,310.235949,93.58025442,339.8232906
54,224.7317384,148.3211505,301.1423262,133.4117675,316.0517092,104.524838,344.9386388
55,219.5504731,144.1347488,294.9661973,129.4194855,309.6814606,100.9086629,338.1922832
56,242.680851,168.666541,316.695161,154.2247245,331.1369776,126.2437048,359.1179972
57,172.6838043,100.9542753,244.4133334,86.9582696,258.4093391,59.84100862,285.5266
58,134.0954853,63.00481644,205.1861541,49.13346642,219.0575042,22.25772576,245.9332448
59,160.306483,90.53407494,230.078891,76.91994655,243.6930194,50.54257278,270.0703932
60,257.5056888,184.9592458,330.0521318,170.8038422,344.2075353,143.3777479,371.6336296
61,297.5349116,204.0949883,390.9748349,185.8628082,409.2070151,150.5379591,444.5318641
62,355.3858105,265.4470411,445.3245798,247.8980129,462.873608,213.8967708,496.8748501
63,301.1552606,207.3813526,394.9291686,189.0840047,413.2265165,153.6328932,448.677628
64,345.7748135,254.4207681,437.1288589,236.5955885,454.9540385,202.0593031,489.4903239
65,294.3503495,201.9600202,386.7406789,183.9326388,404.7680602,149.0045875,439.6961115
66,290.0063722,181.6058373,398.4069071,160.4545134,419.558231,119.4738233,460.538921
67,371.3672609,265.0666817,477.66784,244.3251053,498.4094165,204.138301,538.5962208
68,373.8304442,261.5966161,486.0642723,239.6973325,507.9635558,197.2674707,550.3934177
69,375.7288697,260.0603543,491.397385,237.4908879,513.9668515,193.7625467,557.6951926
70,396.386065,280.5796468,512.1924831,257.9832726,534.7888574,214.2027974,578.5693326
71,404.0419688,290.3999307,517.684007,268.2258745,539.8580632,225.2636405,582.8202971
72,321.8217298,211.5203982,432.1230615,189.9981871,453.6452726,148.2989032,495.3445565
73,265.7480941,148.3967195,383.0994687,125.4988903,405.9972979,81.13434618,450.361842
74,352.2657672,238.5201405,466.011394,216.3258718,488.2056627,173.3244764,531.2070581
75,304.763179,182.238064,427.2882939,158.3307245,451.1956334,112.0102543,497.5161036
76,231.2007453,76.5654508,385.8360399,46.3927104,416.0087803,-12.06697412,474.4684648
77,365.5782293,198.8373692,532.3190894,166.3025672,564.8538914,103.2663884,627.8900702
78,501.4872868,336.0129009,666.9616728,303.7252158,699.2493578,241.167826,761.8067476
79,527.8237431,358.7682934,696.8791927,325.7818643,729.8656219,261.8706577,793.7768284
80,544.0918125,369.7046571,718.4789678,335.6778951,752.5057299,269.7510437,818.4325813
