"","x"
"343",-56.179786
"344",35.870796
"345",38.170496
"346",58.30682
"347",124.264478
"348",104.999778
"349",194.332944
"350",143.098644
"351",165.994608
"352",101.48463
"353",169.500708
"354",120.785522
"355",53.586026
"356",-15.812134
"357",25.15721
"358",40.793662
"359",38.62365
"360",131.053494
"361",135.95751
"362",51.389624
"363",5.27498400000001
"364",33.975994
"365",11.167494
"366",-9.67004999999999
"367",46.39739
"368",47.693516
"369",15.671136
"370",16.788564
"371",-2.77471999999999
"372",6.071962
"373",-2.85389
"374",18.98572
"375",103.934376
"376",109.60898
"377",66.401764
"378",93.583464
"379",34.89889
"380",99.06429
"381",73.110102
"382",74.946092
"383",91.727116
"384",132.738684
"385",158.710968
"386",296.119928
"387",111.359768
"388",32.397872
"389",26.767754
"390",132.380534
"391",180.415612
"392",154.25332
"393",138.816678
"394",111.824232
"395",109.264402
"396",81.683082
"397",61.549774
"398",58.903234
"399",24.481626
"400",0.266915999999999
"401",-39.785564
"402",21.989656
"403",48.929322
"404",37.19482
"405",115.666616
"406",131.598636
"407",238.355234
"408",136.71151
"409",149.259578
"410",121.839614
"411",129.3487
"412",112.37616
"413",172.802474
"414",132.205606
"415",110.002568
"416",156.865176
"417",81.69967
"418",81.003728
"419",67.090166
"420",143.681486
"421",217.538048
"422",109.817838
"423",167.59535
"424",220.333126
"425",167.734086
"426",151.691982
"427",139.836086
"428",185.99295
"429",240.132412
"430",282.706268
"431",185.85346
"432",224.100864
"433",117.528242
"434",123.099548
"435",9.58786400000001
"436",66.334658
"437",126.542312
"438",155.385074
"439",150.01207
"440",134.812938
"441",161.828758
"442",131.781858
"443",90.173876
"444",62.028564
"445",50.075402
"446",95.676568
"447",-31.75471
"448",3.34474400000001
"449",30.952454
"450",12.70113
"451",15.16294
"452",38.029498
"453",115.019684
"454",72.88918
"455",121.637542
"456",93.531438
"457",122.019066
"458",62.088884
"459",79.856894
"460",9.07137400000001
"461",-2.513082
"462",9.82688200000001
"463",4.96886
"464",1.305928
"465",154.04597
"466",164.061352
"467",81.378466
"468",53.450306
"469",51.278786
"470",109.952804
"471",76.960026
"472",-2.49800199999999
"473",44.029076
"474",134.08005
"475",160.36826
"476",296.564034
"477",108.013516
"478",24.58794
"479",63.311118
"480",114.45343
"481",95.33199
"482",99.318388
"483",66.738048
"484",89.830806
"485",64.373504
"486",31.523986
"487",41.497898
"488",108.936412
"489",35.887384
"490",5.56829000000001
"491",4.01429600000001
"492",-0.67106
"493",44.190432
"494",37.18351
"495",54.625792
"496",17.4928
"497",-3.30176599999999
"498",-27.248806
"499",-43.713904
"500",-39.879814
"501",-11.868714
"502",11.398218
"503",49.947976
"504",128.622598
"505",267.901478
"506",197.376842
"507",24.306698
"508",13.729586
"509",-15.239094
"510",104.665756
"511",126.60791
"512",132.090244
"513",122.45714
"514",182.303628
"515",129.85011
"516",121.780802
"517",114.251358
"518",123.560242
"519",67.854722
"520",6.05612799999999
"521",36.188984
"522",90.700168
"523",64.03345
"524",101.295376
"525",122.26487
"526",145.46545
"527",139.62949
"528",138.718658
"529",156.084032
"530",137.618572
"531",161.117736
"532",130.825786
"533",141.844742
"534",214.242314
"535",131.093456
"536",161.837052
"537",125.603582
"538",146.744234
"539",118.12918
"540",6.662344
"541",138.78124
"542",167.490544
"543",302.849378
"544",256.04709
"545",283.88477
"546",207.899666
"547",184.043106
"548",162.815744
"549",78.817128
"550",108.627272
"551",93.39044
"552",32.599944
"553",-16.508076
"554",9.963356
"555",4.14172200000001
"556",10.323014
"557",59.945262
"558",55.538886
"559",69.201366
"560",58.236698
"561",63.845704
"562",90.284714
"563",66.97405
"564",64.249094
"565",56.89307
"566",38.193116
"567",15.394418
"568",55.546426
"569",52.118742
"570",152.879532
"571",170.952912
"572",100.77587
"573",55.868384
"574",39.424398
"575",26.920062
"576",20.357246
"577",6.19486400000001
"578",41.086214
"579",36.805756
"580",39.759174
"581",32.256874
"582",17.924842
"583",4.50515000000001
"584",16.16576
"585",115.956906
"586",112.523944
"587",77.49989
"588",37.604996
"589",89.144666
"590",73.987758
"591",65.685464
"592",61.604062
"593",84.302478
"594",41.456428
"595",64.931464
"596",74.036014
"597",29.426358
"598",18.228704
"599",24.10161
"600",105.73719
"601",126.043918
"602",96.129722
"603",105.26217
"604",82.91738
"605",77.106302
"606",84.414824
"607",109.13019
"608",85.425938
"609",65.573118
"610",70.104658
"611",112.885864
"612",55.384316
"613",35.884368
"614",58.939426
"615",123.939504
"616",116.080562
"617",112.901698
"618",109.54866
"619",147.098614
"620",106.41956
"621",83.940558
"622",91.65624
"623",129.535692
"624",118.948024
"625",117.747656
"626",112.1952
"627",91.105066
"628",97.493708
"629",95.67506
"630",122.459402
"631",211.639506
"632",157.504568
"633",185.735082
"634",161.319054
"635",172.783624
"636",250.419234
"637",225.756648
"638",257.574694
"639",272.37873
"640",263.222154
"641",233.761866
"642",186.670042
"643",235.188434
"644",163.39557
"645",18.494112
"646",258.494574
"647",377.342316
"648",355.785456
"649",387.647234
"650",428.315732
"651",459.9023
"652",355.728152
"653",228.75606
"654",158.484768
"655",100.388314
"656",115.340134
"657",36.876632
"658",-17.787614
"659",-3.711942
"660",32.936228
"661",17.170088
"662",95.442074
"663",146.652246
"664",165.647014
"665",73.885214
"666",103.576226
"667",162.499064
"668",290.765774
"669",134.843852
"670",90.569726
"671",61.536956
"672",56.200144
"673",32.779396
"674",35.416888
"675",108.82105
"676",247.397202
"677",198.208504
"678",283.24764
"679",162.331676
"680",143.735774
"681",138.107918
"682",106.623894
"683",114.285288
"684",61.546758
"685",71.330662
"686",88.620636
"687",16.650582
"688",4.055012
"689",33.880236
"690",93.164994
"691",-23.35515
"692",-23.490116
"693",-79.08329
"694",-14.355406
"695",-4.76754199999998
"696",-26.825058
"697",-3.06199399999998
"698",-22.002474
"699",36.438558
"700",4.503642
"701",43.404764
"702",16.066232
"703",37.231766
"704",46.150832
"705",107.938116
"706",154.23447
"707",106.749058
"708",119.73143
"709",74.517066
"710",100.236006
"711",124.757594
"712",75.068994
"713",98.45732
"714",104.821834
"715",130.066508
"716",128.554738
"717",59.78089
"718",44.16555
"719",48.921782
"720",117.807976
"721",82.707014
"722",89.128832
"723",153.400546
"724",148.528198
"725",125.485958
"726",119.998346
"727",99.749676
"728",99.869562
"729",120.978546
"730",61.374846
"731",111.790302
"732",48.010196
"733",99.852974
"734",74.967958
"735",100.340812
"736",138.984066
"737",125.647314
"738",72.249034
"739",139.882834
"740",164.946548
"741",116.381408
"742",168.071878
"743",203.878584
"744",138.74731
"745",248.163266
"746",215.280572
"747",205.861604
"748",99.553636
"749",66.168024
"750",36.765794
"751",106.504762
"752",185.155256
"753",265.359744
"754",272.196262
"755",276.922334
"756",207.661402
"757",188.901128
"758",160.082494
"759",128.695736
"760",47.8413
"761",82.443868
"762",11.579932
"763",4.001478
"764",51.13628
"765",21.66996
"766",24.42206
"767",33.442162
"768",92.01439
"769",163.176156
"770",138.198398
"771",187.20312
"772",115.302434
"773",95.764786
"774",77.700454
"775",94.161782
"776",62.913006
"777",55.077438
"778",90.648142
"779",40.79894
"780",162.574464
"781",188.47361
"782",130.067262
"783",63.870586
"784",36.615748
"785",37.194066
"786",-18.738408
"787",11.12527
"788",36.200294
"789",22.543846
"790",31.061784
"791",16.43343
"792",-17.378946
"793",-22.581546
"794",18.505422
"795",122.764772
"796",100.30085
"797",90.794418
"798",99.396804
"799",78.927212
"800",73.036964
"801",63.866062
"802",80.509858
"803",124.047326
"804",120.433404
"805",187.060614
"806",182.897026
"807",47.63772
"808",20.415304
"809",17.173104
"810",95.23774
"811",70.580432
