"","x"
"457",173.171
"458",183.654
"459",175.089
"460",177.969
"461",180.333
"462",100.967
"463",75.41
"464",89.268
"465",78.695
"466",125.412
"467",146.071
"468",197.111
"469",182.991
"470",190.174
"471",178.931
"472",176.313
"473",147.606
"474",150.175
"475",112.31
"476",110.679
"477",62.746
"478",47.39
"479",55.033
"480",132.205
"481",165.565
"482",133.278
"483",152.488
"484",140.861
"485",179.624
"486",153.191
"487",109.963
"488",115.522
"489",167.404
"490",155.615
"491",227.676
"492",97.89
"493",42.392
"494",67.685
"495",149.552
"496",159.8
"497",138.379
"498",130.139
"499",135.976
"500",147.891
"501",112.741
"502",87.883
"503",130.756
"504",126.413
"505",104.693
"506",154.227
"507",63.763
"508",50.791
"509",64.211
"510",124.186
"511",109.085
"512",85.814
"513",66.59
"514",62.218
"515",69.785
"516",62.487
"517",61.473
"518",111.127
"519",147.007
"520",207.968
"521",198.004
"522",50.708
"523",40.075
"524",31.656
"525",133.845
"526",135.075
"527",122.815
"528",105.023
"529",133.992
"530",110.482
"531",103.316
"532",99.491
"533",135.877
"534",131.859
"535",142.136
"536",149.362
"537",81.417
"538",59.379
"539",73.33
"540",152.164
"541",166.94
"542",156.864
"543",145.343
"544",175.415
"545",148.495
"546",156.271
"547",136.911
"548",165.064
"549",198.468
"550",154.932
"551",178.14
"552",121.764
"553",118.894
"554",113.786
"555",100.507
"556",182.309
"557",191.497
"558",258.341
"559",251.221
"560",249.763
"561",214.324
"562",188.259
"563",194.175
"564",172.789
"565",159.545
"566",166.346
"567",96.583
"568",69.331
"569",78.877
"570",62.242
"571",121.272
"572",155.345
"573",199.904
"574",200.713
"575",195.297
"576",173.001
"577",170.784
"578",160.509
"579",141.186
"580",131.269
"581",124.219
"582",67.227
"583",70.025
"584",75.56
"585",121.211
"586",165.764
"587",150.215
"588",151.126
"589",143.771
"590",132.873
"591",116.884
"592",109.297
"593",121.193
"594",108.018
"595",102.884
"596",93.809
"597",50.973
"598",47.824
"599",57.035
"600",143.765
"601",169.833
"602",137.507
"603",114.395
"604",137.03
"605",121.737
"606",107.044
"607",99.265
"608",120.703
"609",89.033
"610",99.023
"611",98.284
"612",47.546
"613",38.408
"614",47.831
"615",148.624
"616",175.047
"617",138.263
"618",127.71
"619",131.909
"620",118.86
"621",113.673
"622",122.44
"623",123.202
"624",91.244
"625",100.836
"626",124.2
"627",60.171
