,0
355,7.61598147992
356,7.05445083664
357,6.63461922588
358,6.24237998873
359,6.42129793075
360,6.61235125589
361,6.29958892002
362,5.74687247004
363,5.41527679386
364,4.97960528592
365,4.46039085781
366,4.3292760955
367,4.2247443488
368,3.93106024652
369,3.67247701381
370,3.31270982367
371,3.04300350512
372,2.74139631842
373,2.60916116193
374,3.04927179031
375,3.49463147442
376,3.61934133428
377,3.92317640268
378,3.79697051863
379,4.15667433106
380,4.30070948438
381,4.44379137312
382,4.70028491309
383,5.22923005979
384,5.87120243621
385,7.17462733065
386,7.19804666102
387,6.72882676177
388,6.26760095378
389,6.48746664962
390,6.95550275335
391,7.21278706624
392,7.34941388877
393,7.31882907379
394,7.28441531452
395,7.09368884558
396,6.80305513364
397,6.52605658163
398,6.06770498707
399,5.5067487098
400,4.76884118052
401,4.45330812168
402,4.32112954607
403,4.13385201185
404,4.4125115378
405,4.75181686513
406,5.59368903815
407,5.80586927424
408,6.05849155121
409,6.14208187414
410,6.27066075413
411,6.27139723704
412,6.53545368965
413,6.55527112459
414,6.45341068545
415,6.54331681426
416,6.28787831314
417,6.0458825546
418,5.75776616108
419,5.7662599427
420,5.99826451815
421,5.8188434291
422,5.8004535806
423,5.87323783493
424,5.76585193553
425,5.6166274854
426,5.41926558623
427,5.28860102225
428,5.20193928741
429,5.13203965333
430,4.90563825949
431,4.71043796466
432,4.40705048945
433,4.12485524968
434,3.76920991172
435,3.48290844641
436,3.25315120659
437,3.05040078739
438,2.85429911276
439,2.66211608081
440,2.49231417033
441,2.32244477853
442,2.15144339474
443,1.98403207976
444,1.82639691438
445,1.69603986433
446,1.53840098033
447,1.4046294428
448,1.28999469335
449,1.18037444088
450,1.0808999678
451,0.995684904002
452,0.936752259651
453,0.872356150503
454,0.825008333036
455,0.775518998358
456,0.737442858144
457,0.688140391083
458,0.647730358846
459,0.593274392459
460,0.540735420462
461,0.495800665729
462,0.453627546633
463,0.414245360463
464,0.416591754645
465,0.422293948798
466,0.40660114005
467,0.385181141686
468,0.365385013346
469,0.364077797333
470,0.354445671463
471,0.322678977666
472,0.307653168871
473,0.321936689919
474,0.343145202269
475,0.397870175893
476,0.394296167282
477,0.366874792515
478,0.353354364831
479,0.356381348426
480,0.353784923964
481,0.352936478333
482,0.342408709951
483,0.340103322536
484,0.330303036949
485,0.311866553775
486,0.297986416589
487,0.306832442477
488,0.291336957906
489,0.267535887551
490,0.245319877222
491,0.223641474353
492,0.216691646803
493,0.20803290603
494,0.204571616127
495,0.191222652133
496,0.173657681695
497,0.151939620624
498,0.128635708472
499,0.108521866433
500,0.0963790203162
501,0.0904608515655
502,0.0935067974008
503,0.113497369235
504,0.158552359845
505,0.184202742397
506,0.173061812021
507,0.16064656234
508,0.143689231425
509,0.150496250086
510,0.160015577384
511,0.168784677973
512,0.174561406177
513,0.188113901434
514,0.191174091309
515,0.191978223407
516,0.190738501819
517,0.18996901331
518,0.181660995988
519,0.166482629082
520,0.15600158438
521,0.151934733075
522,0.145054688415
523,0.142133195952
524,0.140681751874
525,0.140373100315
526,0.138614553845
527,0.136151430008
528,0.134481823707
529,0.131510976543
530,0.129235759439
531,0.124836852248
532,0.120444333052
533,0.118201127823
534,0.112328901053
535,0.107254623047
536,0.101101017037
537,0.0955557736451
538,0.0895304436921
